,feature,shap_value
0,macd_line,0.04
1,high_loc,0.021
2,low_loc,-0.018
3,level,0.012
4,weekday_1,0.012
5,result,0.006
6,volume,-0.006
7,vtrend,0.005
8,mac_d_signal,0.005
9,weekday_3,-0.004
10,hour_9,-0.003
14,day_20,0.002
15,close_loc,0.002
12,weekday_0,-0.002
13,hour_2,-0.002
11,minute_10,0.002
24,day_10,-0.001
32,hour_19,0.001
31,hour_18,-0.001
30,hour_6,-0.001
28,hour_10,-0.001
27,hour_1,-0.001
26,minute_40,-0.001
25,hour_23,0.001
29,hour_5,0.001
23,day_6,0.001
21,minute_45,0.001
20,minute_15,0.001
19,hour_8,0.001
18,weekday_2,-0.001
17,hour_3,0.001
16,weekday_6,0.001
22,hour_15,-0.001
52,day_14,-0.0
48,day_19,0.0
49,hour_13,0.0
50,day_30,0.0
51,sd,0.0
55,hour_16,-0.0
53,day_15,0.0
54,day_11,-0.0
46,hour_22,-0.0
56,minute_20,0.0
57,hour_12,-0.0
47,hour_21,-0.0
42,imbalance,-0.0
45,hour_20,0.0
44,hour_7,-0.0
43,minute_30,0.0
41,minute_0,0.0
40,day_24,0.0
39,day_3,0.0
38,day_7,0.0
37,hour_11,-0.0
36,minute_25,0.0
35,day_13,-0.0
34,day_29,-0.0
33,day_22,0.0
58,day_4,-0.0
